
image_path,card_name,set_code,collector_number,foil,language
images/img_0001.jpg,Farseek,NCC,274,yes,Japanese
images/img_0002.jpg,Swords to Plowshares,ELD,294,yes,German
images/img_0003.jpg,Sword of Fire and Ice,M21,251,no,Korean
images/img_0004.jpg,Mountain,KLD,051,no,Japanese
images/img_0005.jpg,Delver of Secrets,M20,254,no,French
images/img_0006.jpg,Cyclonic Rift,ELD,067,no,Chinese
images/img_0007.jpg,Delver of Secrets,AFR,089,yes,English
images/img_0008.jpg,Volcanic Island,IKO,260,yes,Portuguese
images/img_0009.jpg,Preordain,AFR,240,no,German
images/img_0010.jpg,Gilded Goose,THB,144,no,Italian
images/img_0011.jpg,Counterspell,DMR,189,yes,Spanish
images/img_0012.jpg,Liliana of the Veil,ELD,035,yes,Spanish
images/img_0013.jpg,Mox Sapphire,KHM,090,no,Portuguese
images/img_0014.jpg,Mana Leak,DMR,156,no,English
images/img_0015.jpg,Farseek,M21,128,no,Spanish
images/img_0016.jpg,Volcanic Island,KLD,166,no,Japanese
images/img_0017.jpg,Path to Exile,M21,205,no,Portuguese
images/img_0018.jpg,Plains,ELD,098,yes,French
images/img_0019.jpg,Supreme Verdict,M20,123,yes,German
images/img_0020.jpg,City of Brass,ELD,053,yes,Korean
images/img_0021.jpg,Forest,M20,103,no,French
images/img_0022.jpg,Liliana of the Veil,IKO,219,yes,Portuguese
images/img_0023.jpg,Swamp,C21,098,yes,Japanese
images/img_0024.jpg,Delver of Secrets,IKO,281,no,Spanish
images/img_0025.jpg,Liliana of the Veil,MH2,062,yes,Spanish
images/img_0026.jpg,Damnation,KLD,027,no,Italian
images/img_0027.jpg,Farseek,ELD,040,yes,Korean
images/img_0028.jpg,Primeval Titan,CMM,239,yes,Japanese
images/img_0029.jpg,Sword of Fire and Ice,CMM,028,no,Portuguese
images/img_0030.jpg,Counter Spell,M20,167,no,Japanese
images/img_0031.jpg,Birds of Paradise,THB,011,yes,Italian
images/img_0032.jpg,Sol Ring,M21,292,yes,Portuguese
images/img_0033.jpg,Mountain,ZNR,105,yes,Spanish
images/img_0034.jpg,Sword of Feast and Famine,ZNR,185,no,Korean
images/img_0035.jpg,Maze's End,C21,173,yes,Portuguese
images/img_0036.jpg,Young Pyromancer,NCC,280,no,Italian
images/img_0037.jpg,Noble Hierarch,KHM,085,no,Korean
