
card_name,format,legality_status,reason,last_updated,source_url
Ancestral Recall,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Balance,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Black Lotus,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Brainstorm,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Chalice of the Void,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Channel,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Demonic Consultation,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Demonic Tutor,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Dig Through Time,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Flash,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Gitaxian Probe,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Golgari Grave-Troll,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Gush,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Imperial Seal,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
"Karn, the Great Creator",Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Library of Alexandria,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Lion's Eye Diamond,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Lodestone Golem,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Lotus Petal,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Mana Crypt,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Mana Vault,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Memory Jar,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Mental Misstep,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Merchant Scroll,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Mind's Desire,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Monastery Mentor,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Mox Emerald,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
Mox Jet,Vintage,Restricted,Restricted due to high power level; only one copy allowed.,Various,https://magic.wizards.com/en/banned-restricted-list
