title,commander,decklist
Counter Intelligence (EOC),"Inspirit, Flagship Vessel","Inspirit, Flagship Vessel
1 Kilo, Apogee Mind
1 Patrolling Peacemaker
1 Insight Engine
1 Uthros Research Craft
1 Depthshaker Titan
1 Long-Range Sensor
1 Moxite Refinery
1 Solar Array
1 Surge Conductor
1 Glittering Massif
1 Radiant Summit
1 Swan Song
1 Chaos Warp
1 Cloud Key
1 Gavel of the Righteous
1 Battlefield Forge
1 Angel of the Ruins
1 Fumigate
1 Organic Extinction
1 Resourceful Defense
1 Chrome Host Seedshark
1 Cyberdrive Awakener
1 Deepglow Skate
1 Emry, Lurker of the Loch
1 Kappa Cannoneer
1 Phyrexian Metamorph
1 Pull from Tomorrow
1 Ripples of Potential
1 Tekuthal, Inquiry Dominus
1 Thought Monitor
1 Universal Surveillance
1 Chain Reaction
1 Alibou, Ancient Witness
1 Jhoira, Weatherlight Captain
1 Wake the Past
1 Astral Cornucopia
1 Crystalline Crawler
1 Darksteel Reactor
1 Empowered Autogenerator
1 Hangarback Walker
1 Lux Artillery
1 Lux Cannon
1 Steel Overseer
1 Threefold Thunderhulk
1 Titan Forge
1 Adarkar Wastes
1 Cascade Bluffs
1 Clifftop Retreat
1 Exotic Orchard
1 Glacial Fortress
1 Irrigated Farmland
1 Karn's Bastion
1 The Mycosynth Gardens
1 Rugged Prairie
1 Shivan Reef
1 Skycloud Expanse
1 Spire of Industry
1 Sulfur Falls
1 Temple of Enlightenment
1 Temple of Epiphany
1 Temple of Triumph
1 Swords to Plowshares
1 Tezzeret's Gambit
1 Thirst for Knowledge
1 Arcane Signet
1 Pentad Prism
1 Sol Ring
1 Command Tower
1 Dispatch
1 Etherium Sculptor
1 Experimental Augury
1 Thrummingbird
1 Enthusiastic Mechanaut
1 Coretapper
1 Etched Oracle
1 Everflowing Chalice
1 Golem Foundry
1 Mindless Automaton
1 Soul-Guide Lantern
1 Ancient Den
1 Buried Ruin
1 Evolving Wilds
1 Great Furnace
1 Lonely Sandbar
1 Mystic Monastery
1 Razortide Bridge
1 Rustvale Bridge
1 Seat of the Synod
1 Secluded Steppe
1 Silverbluff Bridge
2 Plains
1 Plains
2 Island
1 Island
2 Mountain
1 Mountain
"
World Shaper (EOC),"Hearthhull, the Worldseed","Hearthhull, the Worldseed
1 Szarel, Genesis Shepherd
1 Eumidian Wastewaker
1 Evendo Brushrazer
1 Planetary Annihilation
1 Baloth Prime
1 Exploration Broodship
1 Horizon Explorer
1 Scouring Swarm
1 Eumidian Hatchery
1 Festering Thicket
1 Vernal Fen
1 Fabled Passage
1 Braids, Arisen Nightmare
1 God-Eternal Bontu
1 Blasphemous Act
1 Hammer of Purphoros
1 Moraug, Fury of Akoum
1 Augur of Autumn
1 Centaur Vinecrasher
1 Formless Genesis
1 Loamcrafter Faun
1 Multani, Yavimaya's Avatar
1 Oracle of Mul Daya
1 Pest Infestation
1 Rampaging Baloths
1 Splendid Reclamation
1 Tireless Tracker
1 Titania, Protector of Argoth
1 World Breaker
1 Escape to the Wilds
1 Gaze of Granite
1 The Gitrog Monster
1 Korvold, Fae-Cursed King
1 Mazirek, Kraul Death Priest
1 Omnath, Locus of Rage
1 Soul of Windgrace
1 Windgrace's Judgment
1 Worldsoul's Rage
1 Canyon Slough
1 Cinder Glade
1 Karplusan Forest
1 Llanowar Wastes
1 Sheltered Thicket
1 Smoldering Marsh
1 Sulfurous Springs
1 Twilight Mire
1 Viridescent Bog
1 Farseek
1 Springbloom Druid
1 Binding the Old Gods
1 Arcane Signet
1 Sol Ring
1 Command Tower
1 Mountain Valley
1 Terramorphic Expanse
1 Infernal Grasp
1 Night's Whisper
1 Sprouting Goblin
1 Aftermath Analyst
1 Beast Within
1 Cultivate
1 Groundskeeper
1 Harrow
1 Nature's Lore
1 Roiling Regrowth
1 Satyr Wayfinder
1 Skyshroud Claim
1 Tear Asunder
1 Juri, Master of the Revue
1 Mayhem Devil
1 Putrefy
1 Rakdos Charm
1 Uurg, Spawn of Turg
1 Bojuka Bog
1 Cabaretti Courtyard
1 Dakmor Salvage
1 Escape Tunnel
1 Evolving Wilds
1 Maestros Theater
1 Myriad Landscape
1 Riveteers Overlook
1 Rocky Tar Pit
1 Wastes
3 Swamp
2 Swamp
2 Mountain
1 Mountain
4 Forest
4 Forest
"
Counter Blitz (FINAL FANTASY X) (FIC),"Tidus, Yuna's Guardian","Tidus, Yuna's Guardian
1 Yuna, Grand Summoner
1 Auron, Venerated Guardian
1 Chocobo Knights
1 Gatta and Luzzu
1 Lord Jyscal Guado
1 Protection Magic
1 Summon: Ixion
1 Summon: Yojimbo
1 Summoner's Sending
1 Blitzball Stadium
1 Lulu, Stern Guardian
1 O'aka, Traveling Merchant
1 Rikku, Resourceful Guardian
1 Summon: Valefor
1 Maester Seymour
1 Sphere Grid
1 Summon: Magus Sisters
1 Tromell, Seymour's Butler
1 Yuna's Decision
1 Yuna's Whistle
1 Kimahri, Valiant Guardian
1 Shelinda, Yevon Acolyte
1 Sin, Unending Cataclysm
1 Wakka, Devoted Guardian
1 Collective Effort
1 Damning Verdict
1 Farewell
1 Luminous Broodmoth
1 Promise of Loyalty
1 Resourceful Defense
1 Scholar of New Horizons
1 Sunscorch Regent
1 Together Forever
1 Chasm Skulker
1 Inexorable Tide
1 Pull from Tomorrow
1 Bane of Progress
1 Fight Rigging
1 Forgotten Ancient
1 Generous Patron
1 Gyre Sage
1 Hardened Scales
1 Incubation Druid
1 Path of Discovery
1 Rampant Rejuvenator
1 Tireless Tracker
1 Altered Ego
1 Endless Detour
1 Fathom Mage
1 Walking Ballista
1 Brushland
1 Canopy Vista
1 Exotic Orchard
1 Flooded Grove
1 Fortified Village
1 Glacial Fortress
1 Hinterland Harbor
1 Overflowing Basin
1 Port Town
1 Prairie Stream
1 Skycloud Expanse
1 Sungrass Prairie
1 Sunpetal Grove
1 Temple of Enlightenment
1 Temple of Mystery
1 Temple of Plenty
1 Vineglimmer Snarl
1 Destroy Evil
1 Grateful Apparition
1 Path to Exile
1 An Offer You Can't Refuse
1 Duskshell Crawler
1 Farseek
1 Inspiring Call
1 Three Visits
1 Bred for the Hunt
1 Arcane Signet
1 Everflowing Chalice
1 Sol Ring
1 Ash Barrens
1 Evolving Wilds
1 Forge of Heroes
1 Idyllic Beachfront
1 Nesting Grounds
1 Path of Ancestry
1 Radiant Grove
1 Seaside Citadel
1 Tangled Islet
1 Temple of the False God
1 Command Tower
1 Island
1 Island
1 Island
1 Forest
1 Forest
1 Forest
1 Plains
1 Plains
1 Plains
"
Counter Blitz Collector's Edition (FINAL FANTASY X) (FIC),"Tidus, Yuna's Guardian","Tidus, Yuna's Guardian
1 Altered Ego
1 An Offer You Can't Refuse
1 Arcane Signet
1 Ash Barrens
1 Auron, Venerated Guardian
1 Bane of Progress
1 Blitzball Stadium
1 Bred for the Hunt
1 Brushland
1 Canopy Vista
1 Chasm Skulker
1 Chocobo Knights
1 Collective Effort
1 Command Tower
1 Damning Verdict
1 Destroy Evil
1 Duskshell Crawler
1 Endless Detour
1 Everflowing Chalice
1 Evolving Wilds
1 Exotic Orchard
1 Farewell
1 Farseek
1 Fathom Mage
1 Fight Rigging
1 Flooded Grove
3 Forest
1 Forge of Heroes
1 Forgotten Ancient
1 Fortified Village
1 Gatta and Luzzu
1 Generous Patron
1 Glacial Fortress
1 Grateful Apparition
1 Gyre Sage
1 Hardened Scales
1 Hinterland Harbor
1 Idyllic Beachfront
1 Incubation Druid
1 Inexorable Tide
1 Inspiring Call
3 Island
1 Kimahri, Valiant Guardian
1 Lord Jyscal Guado
1 Lulu, Stern Guardian
1 Luminous Broodmoth
1 Maester Seymour
1 Nesting Grounds
1 O'aka, Traveling Merchant
1 Overflowing Basin
1 Path of Ancestry
1 Path of Discovery
1 Path to Exile
3 Plains
1 Port Town
1 Prairie Stream
1 Promise of Loyalty
1 Protection Magic
1 Pull from Tomorrow
1 Radiant Grove
1 Rampant Rejuvenator
1 Resourceful Defense
1 Rikku, Resourceful Guardian
1 Scholar of New Horizons
1 Seaside Citadel
1 Shelinda, Yevon Acolyte
1 Sin, Unending Cataclysm
1 Skycloud Expanse
1 Sol Ring
1 Sphere Grid
1 Summon: Ixion
1 Summon: Magus Sisters
1 Summon: Valefor
1 Summon: Yojimbo
1 Summoner's Sending
1 Sungrass Prairie
1 Sunpetal Grove
1 Sunscorch Regent
1 Tangled Islet
1 Temple of Enlightenment
1 Temple of Mystery
1 Temple of Plenty
1 Temple of the False God
1 Three Visits
1 Tireless Tracker
1 Together Forever
1 Tromell, Seymour's Butler
1 Vineglimmer Snarl
1 Wakka, Devoted Guardian
1 Walking Ballista
1 Yuna, Grand Summoner
1 Yuna's Decision
1 Yuna's Whistle
"
Limit Break (FINAL FANTASY VII) (FIC),"Cloud, Ex-SOLDIER","Cloud, Ex-SOLDIER
1 Tifa, Martial Artist
1 Cid, Freeflier Pilot
1 Cloud's Limit Break
1 Elena, Turk Recruit
1 Heidegger, Shinra Executive
1 Helitrooper
1 SOLDIER Military Program
1 Ultimate Magic: Holy
1 Avalanche of Sector 7
1 Cait Sith, Fortune Teller
1 Summon: Kujata
1 Ultimate Magic: Meteor
1 Vincent, Vengeful Atoner
1 Yuffie, Materia Hunter
1 Bugenhagen, Wise Elder
1 Lifestream's Blessing
1 Professor Hojo
1 Summoning Materia
1 Aerith, Last Ancient
1 Barret, Avalanche Leader
1 Red XIII, Proud Warrior
1 Sephiroth, Fallen Hero
1 Conformer Shuriken
1 Wrecking Ball Arm
1 Austere Command
1 Bastion Protector
1 Bronze Guardian
1 Clever Concealment
1 Puresteel Paladin
1 Unfinished Business
1 Vanquish the Horde
1 Chaos Warp
1 Hellkite Tyrant
1 Professional Face-Breaker
1 Decimate
1 Armory Automaton
1 Champion's Helm
1 Conqueror's Flail
1 Darksteel Plate
1 Inspiring Statuary
1 Sword of the Animist
1 Battlefield Forge
1 Bonders' Enclave
1 Brushland
1 Canopy Vista
1 Cinder Glade
1 Clifftop Retreat
1 Exotic Orchard
1 Fire-Lit Thicket
1 Fortified Village
1 Furycalm Snarl
1 Game Trail
1 Mossfire Valley
1 Rootbound Crag
1 Rugged Prairie
1 Scavenger Grounds
1 Slayers' Stronghold
1 Spire of Industry
1 Sungrass Prairie
1 Sunpetal Grove
1 Sunscorched Divide
1 Zack Fair
1 Barret Wallace
1 Dispatch
1 Secret Rendezvous
1 Furious Rise
1 Vandalblast
1 Cultivate
1 Harmonize
1 Nature's Lore
1 Rampant Growth
1 Behemoth Sledge
1 Arcane Signet
1 Colossus Hammer
1 Explorer's Scope
1 Hero's Blade
1 Hero's Heirloom
1 Lightning Greaves
1 Mask of Memory
1 Skullclamp
1 Sol Ring
1 Trailblazer's Boots
1 Ash Barrens
1 Evolving Wilds
1 Jungle Shrine
1 Path of Ancestry
1 Radiant Grove
1 Sacred Peaks
1 Wooded Ridgeline
1 Command Tower
1 Mountain
1 Mountain
1 Mountain
1 Forest
1 Forest
1 Forest
1 Plains
1 Plains
1 Plains
"
Limit Break Collector's Edition (FINAL FANTASY VII) (FIC),"Cloud, Ex-SOLDIER","Cloud, Ex-SOLDIER
1 Aerith, Last Ancient
1 Arcane Signet
1 Armory Automaton
1 Ash Barrens
1 Austere Command
1 Avalanche of Sector 7
1 Barret Wallace
1 Barret, Avalanche Leader
1 Bastion Protector
1 Battlefield Forge
1 Behemoth Sledge
1 Bonders' Enclave
1 Bronze Guardian
1 Brushland
1 Bugenhagen, Wise Elder
1 Cait Sith, Fortune Teller
1 Canopy Vista
1 Champion's Helm
1 Chaos Warp
1 Cid, Freeflier Pilot
1 Cinder Glade
1 Clever Concealment
1 Clifftop Retreat
1 Cloud's Limit Break
1 Colossus Hammer
1 Command Tower
1 Conformer Shuriken
1 Conqueror's Flail
1 Cultivate
1 Darksteel Plate
1 Decimate
1 Dispatch
1 Elena, Turk Recruit
1 Evolving Wilds
1 Exotic Orchard
1 Explorer's Scope
1 Fire-Lit Thicket
3 Forest
1 Fortified Village
1 Furious Rise
1 Furycalm Snarl
1 Game Trail
1 Harmonize
1 Heidegger, Shinra Executive
1 Helitrooper
1 Hellkite Tyrant
1 Hero's Blade
1 Hero's Heirloom
1 Inspiring Statuary
1 Jungle Shrine
1 Lifestream's Blessing
1 Lightning Greaves
1 Mask of Memory
1 Mossfire Valley
3 Mountain
1 Nature's Lore
1 Path of Ancestry
3 Plains
1 Professional Face-Breaker
1 Professor Hojo
1 Puresteel Paladin
1 Radiant Grove
1 Rampant Growth
1 Red XIII, Proud Warrior
1 Rootbound Crag
1 Rugged Prairie
1 Sacred Peaks
1 Scavenger Grounds
1 Secret Rendezvous
1 Sephiroth, Fallen Hero
1 Skullclamp
1 Slayers' Stronghold
1 Sol Ring
1 SOLDIER Military Program
1 Spire of Industry
1 Summon: Kujata
1 Summoning Materia
1 Sungrass Prairie
1 Sunpetal Grove
1 Sunscorched Divide
1 Sword of the Animist
1 Tifa, Martial Artist
1 Trailblazer's Boots
1 Ultimate Magic: Holy
1 Ultimate Magic: Meteor
1 Unfinished Business
1 Vandalblast
1 Vanquish the Horde
1 Vincent, Vengeful Atoner
1 Wooded Ridgeline
1 Wrecking Ball Arm
1 Yuffie, Materia Hunter
1 Zack Fair
"
Revival Trance (FINAL FANTASY VI) (FIC),"Terra, Herald of Hope","Terra, Herald of Hope
1 Celes, Rune Knight
1 Coin of Fate
1 Cyan, Vengeful Samurai
1 General Leo Cristophe
1 Espers to Magicite
1 The Falcon, Airship Restored
1 Interceptor, Shadow's Hound
1 Rejoin the Fight
1 Shadow, Mysterious Assassin
1 Siegfried, Famed Swordsman
1 Gau, Feral Youth
1 Gogo, Mysterious Mime
1 Sabin, Master Monk
1 Snort
1 Strago and Relm
1 Summon: Esper Valigarmanda
1 Umaro, Raging Yeti
1 Banon, the Returners' Leader
1 Edgar, Master Machinist
1 Kefka, Dancing Mad
1 Locke, Treasure Hunter
1 Mog, Moogle Warrior
1 Setzer, Wandering Gambler
1 The Warring Triad
1 Sun Titan
1 Tragic Arrogance
1 Archfiend of Depravity
1 Reanimate
1 Rise of the Dark Realms
1 Sepulchral Primordial
1 Combustible Gearhulk
1 Flayer of the Hatebound
1 Ruin Grinder
1 Bedevil
1 Legions to Ashes
1 Priest of Fell Rites
1 Ruinous Ultimatum
1 Key to the City
1 Solemn Simulacrum
1 Battlefield Forge
1 Clifftop Retreat
1 Desolate Mire
1 Dragonskull Summit
1 Exotic Orchard
1 Fetid Heath
1 Foreboding Ruins
1 Furycalm Snarl
1 Graven Cairns
1 High Market
1 Isolated Chapel
1 Rugged Prairie
1 Shadowblood Ridge
1 Shineshadow Snarl
1 Smoldering Marsh
1 Sulfurous Springs
1 Sunscorched Divide
1 Phoenix Down
1 Laughing Mad
1 Angel of the Ruins
1 Palace Jailer
1 Morbid Opportunist
1 Night's Whisper
1 Pitiless Plunderer
1 Stitch Together
1 Stitcher's Supplier
1 Anger
1 Big Score
1 Crackling Doom
1 Mortify
1 Arcane Signet
1 Commander's Sphere
1 Meteor Golem
1 Millikin
1 Mind Stone
1 Sol Ring
1 Swiftfoot Boots
1 Talisman of Conviction
1 Talisman of Indulgence
1 Wayfarer's Bauble
1 Ash Barrens
1 Demolition Field
1 Evolving Wilds
1 Geothermal Bog
1 Nomad Outpost
1 Path of Ancestry
1 Rogue's Passage
1 Sacred Peaks
1 Sunlit Marsh
1 Command Tower
2 Plains
1 Plains
1 Plains
1 Swamp
1 Swamp
1 Swamp
1 Mountain
1 Mountain
1 Mountain
"
Revival Trance Collector's Edition (FINAL FANTASY VI) (FIC),"Terra, Herald of Hope","Terra, Herald of Hope
1 Angel of the Ruins
1 Anger
1 Arcane Signet
1 Archfiend of Depravity
1 Ash Barrens
1 Banon, the Returners' Leader
1 Battlefield Forge
1 Bedevil
1 Big Score
1 Celes, Rune Knight
1 Clifftop Retreat
1 Coin of Fate
1 Combustible Gearhulk
1 Command Tower
1 Commander's Sphere
1 Crackling Doom
1 Cyan, Vengeful Samurai
1 Demolition Field
1 Desolate Mire
1 Dragonskull Summit
1 Edgar, Master Machinist
1 Espers to Magicite
1 Evolving Wilds
1 Exotic Orchard
1 Fetid Heath
1 Flayer of the Hatebound
1 Foreboding Ruins
1 Furycalm Snarl
1 Gau, Feral Youth
1 General Leo Cristophe
1 Geothermal Bog
1 Gogo, Mysterious Mime
1 Graven Cairns
1 High Market
1 Interceptor, Shadow's Hound
1 Isolated Chapel
1 Kefka, Dancing Mad
1 Key to the City
1 Laughing Mad
1 Legions to Ashes
1 Locke, Treasure Hunter
1 Meteor Golem
1 Millikin
1 Mind Stone
1 Mog, Moogle Warrior
1 Morbid Opportunist
1 Mortify
3 Mountain
1 Night's Whisper
1 Nomad Outpost
1 Palace Jailer
1 Path of Ancestry
1 Phoenix Down
1 Pitiless Plunderer
4 Plains
1 Priest of Fell Rites
1 Reanimate
1 Rejoin the Fight
1 Rise of the Dark Realms
1 Rogue's Passage
1 Rugged Prairie
1 Ruin Grinder
1 Ruinous Ultimatum
1 Sabin, Master Monk
1 Sacred Peaks
1 Sepulchral Primordial
1 Setzer, Wandering Gambler
1 Shadow, Mysterious Assassin
1 Shadowblood Ridge
1 Shineshadow Snarl
1 Siegfried, Famed Swordsman
1 Smoldering Marsh
1 Snort
1 Sol Ring
1 Solemn Simulacrum
1 Stitch Together
1 Stitcher's Supplier
1 Strago and Relm
1 Sulfurous Springs
1 Summon: Esper Valigarmanda
1 Sun Titan
1 Sunlit Marsh
1 Sunscorched Divide
3 Swamp
1 Swiftfoot Boots
1 Talisman of Conviction
1 Talisman of Indulgence
1 The Falcon, Airship Restored
1 The Warring Triad
1 Tragic Arrogance
1 Umaro, Raging Yeti
1 Wayfarer's Bauble
"
Scions & Spellcraft (FINAL FANTASY XIV) (FIC),"Y'shtola, Night's Blessed","Y'shtola, Night's Blessed
1 G'raha Tia, Scion Reborn
1 Alisaie Leveilleur
1 Champions from Beyond
1 Dancer's Chakrams
1 Summon: Good King Mog XII
1 Tataru Taru
1 Thancred Waters
1 Alphinaud Leveilleur
1 Blue Mage's Cane
1 Hermes, Overseer of Elpis
1 Hraesvelgr of the First Brood
1 Observed Stasis
1 Eye of Nidhogg
1 Fandaniel, Telophoroi Ascian
1 Astrologian's Planisphere
1 Reaper's Scythe
1 Transpose
1 Ardbert, Warrior of Darkness
1 Emet-Selch of the Third Seat
1 Estinien Varlineau
1 Hildibrand Manderville // Gentleman's Rise
1 Krile Baldesion
1 Lyse Hext
1 Papalymo Totolymo
1 Urianger Augurelt
1 Archaeomancer's Map
1 Authority of the Consuls
1 Cleansing Nova
1 Final Judgment
1 Archmage Emeritus
1 Dig Through Time
1 Rite of Replication
1 Sublime Epiphany
1 Torrential Gearhulk
1 Crux of Fate
1 Lethal Scheme
1 Murderous Rider // Swift End
1 Baleful Strix
1 Vindicate
1 Void Rend
1 Coveted Jewel
1 Tome of Legends
1 Choked Estuary
1 Darkwater Catacombs
1 Desolate Mire
1 Drowned Catacomb
1 Exotic Orchard
1 Fetid Heath
1 Glacial Fortress
1 Isolated Chapel
1 Port Town
1 Prairie Stream
1 Scavenger Grounds
1 Shineshadow Snarl
1 Skycloud Expanse
1 Sunken Hollow
1 Sunken Ruins
1 Underground River
1 White Auracite
1 Sage's Nouliths
1 Circle of Power
1 Cut a Deal
1 Lingering Souls
1 Swords to Plowshares
1 Hypnotic Sprite // Mesmeric Glare
1 Into the Story
1 Propaganda
1 Bastion of Remembrance
1 Exsanguinate
1 Snuff Out
1 Syphon Mind
1 Arcane Signet
1 Relic of Legends
1 Sol Ring
1 Talisman of Dominance
1 Talisman of Hierarchy
1 Talisman of Progress
1 Thought Vessel
1 Arcane Sanctum
1 Ash Barrens
1 Command Tower
1 Contaminated Aquifer
1 Demolition Field
1 Evolving Wilds
1 Idyllic Beachfront
1 Path of Ancestry
1 Sunlit Marsh
1 Temple of the False God
1 Island
1 Island
1 Island
2 Swamp
1 Swamp
1 Swamp
2 Plains
1 Plains
1 Plains
"
Scions & Spellcraft Collector's Edition (FINAL FANTASY XIV) (FIC),"Y'shtola, Night's Blessed","Y'shtola, Night's Blessed
1 Alisaie Leveilleur
1 Alphinaud Leveilleur
1 Arcane Sanctum
1 Arcane Signet
1 Archaeomancer's Map
1 Archmage Emeritus
1 Ardbert, Warrior of Darkness
1 Ash Barrens
1 Astrologian's Planisphere
1 Authority of the Consuls
1 Baleful Strix
1 Bastion of Remembrance
1 Blue Mage's Cane
1 Champions from Beyond
1 Choked Estuary
1 Circle of Power
1 Cleansing Nova
1 Command Tower
1 Contaminated Aquifer
1 Coveted Jewel
1 Crux of Fate
1 Cut a Deal
1 Dancer's Chakrams
1 Darkwater Catacombs
1 Demolition Field
1 Desolate Mire
1 Dig Through Time
1 Drowned Catacomb
1 Emet-Selch of the Third Seat
1 Estinien Varlineau
1 Evolving Wilds
1 Exotic Orchard
1 Exsanguinate
1 Eye of Nidhogg
1 Fandaniel, Telophoroi Ascian
1 Fetid Heath
1 Final Judgment
1 G'raha Tia, Scion Reborn
1 Glacial Fortress
1 Hermes, Overseer of Elpis
1 Hildibrand Manderville // Gentleman's Rise
1 Hraesvelgr of the First Brood
1 Hypnotic Sprite // Mesmeric Glare
1 Idyllic Beachfront
1 Into the Story
3 Island
1 Isolated Chapel
1 Krile Baldesion
1 Lethal Scheme
1 Lingering Souls
1 Lyse Hext
1 Murderous Rider // Swift End
1 Observed Stasis
1 Papalymo Totolymo
1 Path of Ancestry
4 Plains
1 Port Town
1 Prairie Stream
1 Propaganda
1 Reaper's Scythe
1 Relic of Legends
1 Rite of Replication
1 Sage's Nouliths
1 Scavenger Grounds
1 Shineshadow Snarl
1 Skycloud Expanse
1 Snuff Out
1 Sol Ring
1 Sublime Epiphany
1 Summon: Good King Mog XII
1 Sunken Hollow
1 Sunken Ruins
1 Sunlit Marsh
4 Swamp
1 Swords to Plowshares
1 Syphon Mind
1 Talisman of Dominance
1 Talisman of Hierarchy
1 Talisman of Progress
1 Tataru Taru
1 Temple of the False God
1 Thancred Waters
1 Thought Vessel
1 Tome of Legends
1 Torrential Gearhulk
1 Transpose
1 Underground River
1 Urianger Augurelt
1 Vindicate
1 Void Rend
1 White Auracite
"
