title,commander,format,decklist
"Boros Energy","",Modern,"4 Ajani, Nacatl Pariah
3 Arena of Glory
4 Arid Mesa
1 Blood Moon
2 Elegant Parlor
2 Flooded Strand
4 Galvanic Discharge
3 Goblin Bombardment
4 Guide of Souls
4 Marsh Flats
4 Ocelot Pride
4 Phlage, Titan of Fire's Fury
2 Plains
4 Ragavan, Nimble Pilferer
1 Ranger-Captain of Eos
3 Sacred Foundry
4 Seasoned Pyromancer
2 Thraben Charm
2 Voice of Victory
3 Windswept Heath

1 Blood Moon
2 Celestial Purge
2 High Noon
2 Obsidian Charmaw
2 Surgical Extraction
1 The Legend of Roku
1 Vexing Bauble
2 Wear/Tear
2 Wrath of the Skies"
"Boros Energy","",Modern,"4 Ajani, Nacatl Pariah
3 Arena of Glory
4 Arid Mesa
2 Blood Moon
1 Dalkovan Encampment
2 Elegant Parlor
4 Flooded Strand
4 Galvanic Discharge
3 Goblin Bombardment
4 Guide of Souls
4 Ocelot Pride
4 Phlage, Titan of Fire's Fury
2 Plains
4 Ragavan, Nimble Pilferer
2 Ranger-Captain of Eos
3 Sacred Foundry
2 Seasoned Pyromancer
2 Thraben Charm
2 Voice of Victory
4 Windswept Heath

1 Blood Moon
2 Celestial Purge
1 Containment Priest
3 Obsidian Charmaw
2 Orim's Chant
2 The Legend of Roku
2 Wear/Tear
2 Wrath of the Skies"
"Boros Energy","",Modern,"4 Ajani, Nacatl Pariah
3 Arena of Glory
4 Arid Mesa
1 Blood Moon
1 Dalkovan Encampment
2 Elegant Parlor
4 Flooded Strand
4 Galvanic Discharge
3 Goblin Bombardment
4 Guide of Souls
3 Marsh Flats
1 Mountain
4 Ocelot Pride
4 Phlage, Titan of Fire's Fury
2 Plains
4 Ragavan, Nimble Pilferer
2 Ranger-Captain of Eos
3 Sacred Foundry
3 Seasoned Pyromancer
2 Thraben Charm
2 Voice of Victory

1 Blood Moon
2 Celestial Purge
2 Obsidian Charmaw
2 Orim's Chant
2 The Legend of Roku
2 Vexing Bauble
2 Wear/Tear
2 Wrath of the Skies"
"Boros Energy","",Modern,"4 Ajani, Nacatl Pariah
3 Arena of Glory
4 Arid Mesa
1 Blood Moon
1 Dalkovan Encampment
2 Elegant Parlor
4 Flooded Strand
4 Galvanic Discharge
3 Goblin Bombardment
4 Guide of Souls
2 Marsh Flats
1 Mountain
4 Ocelot Pride
4 Phlage, Titan of Fire's Fury
2 Plains
4 Ragavan, Nimble Pilferer
2 Ranger-Captain of Eos
3 Sacred Foundry
3 Seasoned Pyromancer
1 Sunbaked Canyon
2 Thraben Charm
2 Voice of Victory

2 Celestial Purge
1 Containment Priest
1 Damping Sphere
1 High Noon
3 Obsidian Charmaw
1 Orim's Chant
2 The Legend of Roku
2 Wear/Tear
2 Wrath of the Skies"
"Boros Energy","",Modern,"4 Ajani, Nacatl Pariah
3 Arena of Glory
4 Arid Mesa
1 Blood Moon
1 Dalkovan Encampment
2 Elegant Parlor
3 Flooded Strand
4 Galvanic Discharge
3 Goblin Bombardment
4 Guide of Souls
1 Mana Tithe
4 Marsh Flats
4 Ocelot Pride
4 Phlage, Titan of Fire's Fury
2 Plains
4 Ragavan, Nimble Pilferer
1 Ranger-Captain of Eos
3 Sacred Foundry
3 Seasoned Pyromancer
2 Thraben Charm
2 Voice of Victory
1 Windswept Heath

1 Blood Moon
2 Celestial Purge
2 High Noon
3 Obsidian Charmaw
2 Orim's Chant
2 The Legend of Roku
1 Wear/Tear
2 Wrath of the Skies"
"Ruby Storm","",Modern,"2 Arid Mesa
2 Artist's Talent
3 Bloodstained Mire
4 Desperate Ritual
2 Elegant Parlor
1 Gemstone Caverns
3 Glimpse the Impossible
1 Grapeshot
4 Manamorphose
4 Mountain
3 Past in Flames
4 Pyretic Ritual
4 Ral, Monsoon Mage
4 Reckless Impulse
4 Ruby Medallion
2 Sacred Foundry
1 Strike It Rich
1 Sunbaked Canyon
2 Valakut Awakening
2 Wish
3 Wooded Foothills
4 Wrenn's Resolve

1 Empty the Warrens
1 Grapeshot
1 Hexing Squelcher
2 March of Otherworldly Light
2 Orim's Chant
2 Pact of Negation
1 Past in Flames
2 Pyroclasm
1 Stormscale Scion
2 Wear/Tear"
"Ruby Storm","",Modern,"2 Artist's Talent
4 Bloodstained Mire
1 Commercial District
4 Desperate Ritual
1 Elegant Parlor
2 Glimpse the Impossible
1 Grapeshot
4 Manamorphose
4 Mountain
3 Past in Flames
4 Pyretic Ritual
4 Ral, Monsoon Mage
4 Reckless Impulse
4 Ruby Medallion
1 Sacred Foundry
2 Scalding Tarn
2 Strike It Rich
1 Sunbaked Canyon
2 Valakut Awakening
2 Wish
4 Wooded Foothills
4 Wrenn's Resolve

2 Brotherhood's End
1 Empty the Warrens
1 Fire Magic
1 Grapeshot
4 Orim's Chant
1 Past in Flames
3 Prismatic Ending
2 Wear/Tear"
"Ruby Storm","",Modern,"3 Arid Mesa
2 Artist's Talent
3 Bloodstained Mire
4 Desperate Ritual
1 Elegant Parlor
2 Glimpse the Impossible
1 Grapeshot
4 Manamorphose
3 Past in Flames
4 Pyretic Ritual
4 Ral, Monsoon Mage
4 Reckless Impulse
4 Ruby Medallion
1 Sacred Foundry
2 Scalding Tarn
4 Snow-Covered Mountain
2 Strike It Rich
1 Sunbaked Canyon
1 Thundering Falls
2 Valakut Awakening
2 Wish
2 Wooded Foothills
4 Wrenn's Resolve

2 Brotherhood's End
1 Empty the Warrens
1 Fire Magic
1 Grapeshot
4 Orim's Chant
1 Past in Flames
3 Prismatic Ending
2 Wear/Tear"
"Mono-Red Storm","",Modern,"1 Arid Mesa
2 Artist's Talent
4 Desperate Ritual
2 Elegant Parlor
1 Gemstone Caverns
2 Glimpse the Impossible
1 Grapeshot
4 Manamorphose
4 Mountain
3 Past in Flames
4 Pyretic Ritual
4 Ral, Monsoon Mage
4 Reckless Impulse
4 Ruby Medallion
1 Sacred Foundry
4 Scalding Tarn
1 Stomping Ground
2 Strike It Rich
1 Sunbaked Canyon
2 Valakut Awakening
2 Wish
3 Wooded Foothills
4 Wrenn's Resolve

2 Brotherhood's End
1 Empty the Warrens
1 Grapeshot
4 Orim's Chant
1 Past in Flames
4 Prismatic Ending
2 Untimely Malfunction"
"Ruby Storm","",Modern,"2 Artist's Talent
3 Bloodstained Mire
4 Desperate Ritual
1 Elegant Parlor
1 Gemstone Caverns
2 Glimpse the Impossible
1 Grapeshot
2 Heroes' Hangout
4 Manamorphose
4 Mountain
3 Past in Flames
4 Pyretic Ritual
4 Ral, Monsoon Mage
4 Reckless Impulse
4 Ruby Medallion
1 Sacred Foundry
4 Scalding Tarn
1 Sunbaked Canyon
1 Thundering Falls
2 Valakut Awakening
2 Wish
2 Wooded Foothills
4 Wrenn's Resolve

2 Brotherhood's End
1 Empty the Warrens
1 Grapeshot
4 Orim's Chant
1 Past in Flames
4 Prismatic Ending
2 Wear/Tear"
"Eldrazi Tron","",Modern,"2 All Is Dust
4 Devourer of Destiny
2 Dismember
4 Eldrazi Temple
4 Expedition Map
4 Glaring Fleshraker
4 Karn, the Great Creator
4 Kozilek's Command
4 Mind Stone
1 Snow-Covered Wastes
1 Swamp
4 Thought-Knot Seer
2 Trinisphere
4 Ugin's Labyrinth
4 Ugin, Eye of the Storms
4 Urza's Mine
4 Urza's Power Plant
4 Urza's Tower

1 Chalice of the Void
1 Cityscape Leveler
1 Darksteel Citadel
1 Dismember
2 Disruptor Flute
1 Ensnaring Bridge
1 Grafdigger's Cage
1 Liquimetal Coating
1 The Filigree Sylex
1 Tormod's Crypt
1 Trinisphere
2 Vexing Bauble
1 Walking Ballista"
