title,commander,format,decklist
"Mono-Red Prowess","",Pioneer,"4 Burst Lightning
1 Castle Embereth
1 Den of the Bugbear
4 Emberheart Challenger
4 Kumano Faces Kakkazan
2 Lightning Strike
4 Monastery Swiftspear
4 Monstrous Rage
15 Mountain
2 Ramunap Ruins
4 Reckless Rage
2 Rockface Village
4 Screaming Nemesis
1 Sokenzan, Crucible of Defiance
4 Soul-Scar Mage
2 Sunspine Lynx
2 The Legend of Roku

3 Magebane Lizard
3 Pyroclasm
2 Redcap Melee
2 Scorching Shot
3 Soul-Guide Lantern
2 Sunspine Lynx"
"Mono-Red Prowess","",Pioneer,"4 Burst Lightning
2 Den of the Bugbear
4 Emberheart Challenger
4 Kumano Faces Kakkazan
2 Lightning Strike
4 Monastery Swiftspear
4 Monstrous Rage
15 Mountain
2 Ramunap Ruins
4 Reckless Rage
2 Rockface Village
4 Screaming Nemesis
1 Sokenzan, Crucible of Defiance
4 Soul-Scar Mage
2 Sunspine Lynx
2 The Legend of Roku

3 Magebane Lizard
3 Pyroclasm
2 Redcap Melee
2 Scorching Shot
3 Soul-Guide Lantern
2 Sunspine Lynx"
"Mono-Red Prowess","",Pioneer,"4 Burst Lightning
1 Castle Embereth
1 Den of the Bugbear
4 Emberheart Challenger
4 Kumano Faces Kakkazan
2 Lightning Strike
4 Monastery Swiftspear
4 Monstrous Rage
15 Mountain
2 Ramunap Ruins
4 Reckless Rage
2 Rockface Village
4 Screaming Nemesis
1 Sokenzan, Crucible of Defiance
4 Soul-Scar Mage
2 Sunspine Lynx
2 The Legend of Roku

3 Magebane Lizard
3 Pyroclasm
2 Redcap Melee
2 Scorching Shot
3 Soul-Guide Lantern
2 Sunspine Lynx"
"Mono-Red Prowess","",Pioneer,"4 Burst Lightning
2 Den of the Bugbear
4 Emberheart Challenger
4 Kumano Faces Kakkazan
2 Lightning Strike
4 Monastery Swiftspear
4 Monstrous Rage
15 Mountain
2 Ramunap Ruins
4 Reckless Rage
2 Rockface Village
4 Screaming Nemesis
1 Sokenzan, Crucible of Defiance
4 Soul-Scar Mage
2 Sunspine Lynx
2 The Legend of Roku

3 Magebane Lizard
3 Pyroclasm
2 Redcap Melee
2 Scorching Shot
3 Soul-Guide Lantern
2 Sunspine Lynx"
"Mono-Red Prowess","",Pioneer,"4 Burst Lightning
1 Castle Embereth
1 Den of the Bugbear
4 Emberheart Challenger
4 Kumano Faces Kakkazan
2 Lightning Strike
4 Monastery Swiftspear
4 Monstrous Rage
15 Mountain
2 Ramunap Ruins
4 Reckless Rage
2 Rockface Village
4 Screaming Nemesis
1 Sokenzan, Crucible of Defiance
4 Soul-Scar Mage
2 Sunspine Lynx
2 The Legend of Roku

3 Magebane Lizard
3 Pyroclasm
2 Redcap Melee
2 Scorching Shot
3 Soul-Guide Lantern
2 Sunspine Lynx"
"Abzan Greasefang","",Pioneer,"3 Bitter Triumph
4 Blooming Marsh
1 Boseiju, Who Endures
1 Brushland
4 Cache Grab
4 Concealed Courtyard
1 Emptiness
4 Esika's Chariot
4 Formidable Speaker
1 Godless Shrine
4 Greasefang, Okiba Boss
1 Lush Portico
3 Multiversal Passage
1 Overlord of the Balemurk
4 Parhelion II
1 Plains
4 Raffine's Informant
1 Selfless Savior
1 Swamp
1 Takenuma, Abandoned Mire
4 Temple Garden
4 Thoughtseize
2 Thundering Broodwagon
1 Voice of Victory
1 Yathan Roadwatcher

2 Abrupt Decay
2 Ashiok, Dream Render
1 Bitter Triumph
2 Duress
1 Loran of the Third Path
4 Pest Control
1 Reckoner Bankbuster
1 Remorseful Cleric
1 Vanishing Verse"
"Abzan Greasefang","",Pioneer,"3 Bitter Triumph
4 Blooming Marsh
1 Boseiju, Who Endures
1 Brushland
3 Cache Grab
4 Concealed Courtyard
1 Emptiness
4 Esika's Chariot
4 Formidable Speaker
1 Godless Shrine
4 Greasefang, Okiba Boss
1 Lush Portico
3 Multiversal Passage
1 Overlord of the Balemurk
4 Parhelion II
1 Plains
3 Raffine's Informant
1 Skysovereign, Consul Flagship
1 Swamp
1 Takenuma, Abandoned Mire
4 Temple Garden
4 Thoughtseize
1 Thundering Broodwagon
1 Voice of Victory
3 Witherbloom Command
1 Yathan Roadwatcher

2 Ashiok, Dream Render
2 Duress
2 Fatal Push
1 Loran of the Third Path
1 Necromentia
3 Pest Control
1 Sheoldred, the Apocalypse
1 Unlicensed Hearse
2 Vanishing Verse"
"Abzan Greasefang","",Pioneer,"3 Bitter Triumph
4 Blooming Marsh
1 Boseiju, Who Endures
1 Brushland
3 Cache Grab
4 Concealed Courtyard
1 Emptiness
4 Esika's Chariot
4 Formidable Speaker
1 Godless Shrine
4 Greasefang, Okiba Boss
1 Lush Portico
3 Multiversal Passage
1 Overlord of the Balemurk
4 Parhelion II
1 Plains
3 Raffine's Informant
1 Skysovereign, Consul Flagship
1 Swamp
1 Takenuma, Abandoned Mire
4 Temple Garden
4 Thoughtseize
1 Thundering Broodwagon
1 Voice of Victory
3 Witherbloom Command
1 Yathan Roadwatcher

2 Ashiok, Dream Render
2 Duress
2 Fatal Push
1 Loran of the Third Path
1 Necromentia
3 Pest Control
1 Sheoldred, the Apocalypse
1 Unlicensed Hearse
2 Vanishing Verse"
"Abzan Greasefang","",Pioneer,"2 Bitter Triumph
3 Blooming Marsh
1 Boseiju, Who Endures
1 Brushland
3 Cache Grab
2 Collective Brutality
4 Concealed Courtyard
3 Darkbore Pathway
1 Emptiness
4 Esika's Chariot
3 Formidable Speaker
1 Godless Shrine
4 Greasefang, Okiba Boss
1 Lush Portico
2 Overlord of the Balemurk
4 Parhelion II
1 Plains
3 Raffine's Informant
1 Starting Town
1 Swamp
1 Takenuma, Abandoned Mire
4 Temple Garden
4 Thoughtseize
2 Thundering Broodwagon
1 Voice of Victory
3 Witherbloom Command

1 Ashiok, Dream Render
3 Duress
3 Fatal Push
1 Knight of Autumn
1 Necromentia
2 Pest Control
2 Unlicensed Hearse
2 Vanishing Verse"
"Abzan Greasefang","",Pioneer,"3 Bitter Triumph
4 Blooming Marsh
1 Boseiju, Who Endures
1 Brushland
3 Cache Grab
4 Concealed Courtyard
3 Darkbore Pathway
1 Emptiness
4 Esika's Chariot
4 Formidable Speaker
1 Godless Shrine
4 Greasefang, Okiba Boss
1 Lush Portico
2 Overlord of the Balemurk
4 Parhelion II
1 Plains
3 Raffine's Informant
2 Skysovereign, Consul Flagship
1 Swamp
1 Takenuma, Abandoned Mire
4 Temple Garden
4 Thoughtseize
1 Voice of Victory
3 Witherbloom Command

1 Ashiok, Dream Render
2 Duress
3 Fatal Push
1 Loran of the Third Path
2 Pest Control
2 Remorseful Cleric
1 Unlicensed Hearse
2 Vanishing Verse
1 Voice of Victory"
