Country,Clicks,Impressions,CTR,Position
United States,168,1224,13.73%,7.82
Canada,46,144,31.94%,6.2
Italy,39,127,30.71%,5.57
Germany,31,212,14.62%,6.25
Spain,26,120,21.67%,5.7
Brazil,24,377,6.37%,6.67
United Kingdom,19,226,8.41%,6.61
France,14,57,24.56%,5.32
Australia,8,70,11.43%,6.7
Denmark,8,29,27.59%,5.17
Netherlands,7,102,6.86%,6.25
Austria,6,32,18.75%,5.75
Poland,6,29,20.69%,5.69
Switzerland,6,28,21.43%,6.04
Japan,5,25,20%,4.2
Czechia,5,17,29.41%,6.76
Puerto Rico,5,5,100%,1
Portugal,4,23,17.39%,6.39
Sweden,3,29,10.34%,5.03
New Zealand,3,23,13.04%,28.09
Singapore,3,20,15%,4.6
Argentina,3,11,27.27%,8.73
Philippines,2,37,5.41%,14.32
Mexico,2,24,8.33%,7
Ireland,2,17,11.76%,6.41
Thailand,2,15,13.33%,15.93
Chile,2,14,14.29%,4.14
Greece,2,12,16.67%,3.17
Russia,2,9,22.22%,21.22
Israel,2,7,28.57%,5.43
India,1,24,4.17%,8.5
Belgium,1,22,4.55%,6.18
Indonesia,1,20,5%,14.05
Hong Kong,1,10,10%,5.1
South Korea,1,9,11.11%,5.78
South Africa,1,9,11.11%,6
Uruguay,1,3,33.33%,3.67
Belarus,1,3,33.33%,4.33
Venezuela,1,3,33.33%,4.67
China,1,3,33.33%,6
Morocco,1,3,33.33%,6.33
Serbia,1,3,33.33%,6.33
Croatia,1,3,33.33%,6.67
United Arab Emirates,1,2,50%,1.5
Malta,1,2,50%,3
Dominican Republic,1,1,100%,1
Norway,0,20,0%,6.95
Finland,0,18,0%,4.5
Malaysia,0,12,0%,3.58
Ukraine,0,12,0%,3.58
Saudi Arabia,0,11,0%,15.55
Peru,0,9,0%,8
Vietnam,0,9,0%,13.67
Egypt,0,7,0%,11.43
Palestine,0,6,0%,3.17
Bulgaria,0,6,0%,5.67
Colombia,0,6,0%,18.5
Costa Rica,0,5,0%,3.6
Slovakia,0,5,0%,5.4
Algeria,0,5,0%,14.4
Iran,0,4,0%,3.25
Ecuador,0,4,0%,5
Panama,0,4,0%,5
Taiwan,0,4,0%,6
Jamaica,0,4,0%,6.5
Slovenia,0,4,0%,8.5
Trinidad & Tobago,0,4,0%,12.75
Turkey,0,4,0%,15
Pakistan,0,4,0%,23.5
Albania,0,3,0%,7
Luxembourg,0,3,0%,7.33
Estonia,0,3,0%,7.67
Oman,0,3,0%,8.33
Nigeria,0,3,0%,25.33
Bangladesh,0,2,0%,3
Cyprus,0,2,0%,3
Armenia,0,2,0%,3.5
Lithuania,0,2,0%,3.5
Latvia,0,2,0%,4.5
Iceland,0,2,0%,6
Tunisia,0,2,0%,6.5
Romania,0,2,0%,7
Bahamas,0,2,0%,8.5
Sri Lanka,0,2,0%,9
Paraguay,0,2,0%,11.5
Barbados,0,2,0%,24
Brunei,0,1,0%,1
Kenya,0,1,0%,1
Cape Verde,0,1,0%,2
Qatar,0,1,0%,2
Honduras,0,1,0%,3
Kuwait,0,1,0%,3
Bosnia & Herzegovina,0,1,0%,4
Cambodia,0,1,0%,6
Nicaragua,0,1,0%,6
Guyana,0,1,0%,7
Syria,0,1,0%,8
Guam,0,1,0%,9
Hungary,0,1,0%,9
Iraq,0,1,0%,10
St. Kitts & Nevis,0,1,0%,10
Moldova,0,1,0%,10
Réunion,0,1,0%,11
Seychelles,0,1,0%,12
