Top pages,Clicks,Impressions,CTR,Position
https://www.manatap.ai/,388,2445,15.87%,6.02
https://manatap.ai/tools/mulligan,24,231,10.39%,7.4
https://manatap.ai/,23,164,14.02%,5.41
https://www.manatap.ai/tools/mulligan,13,124,10.48%,4.81
https://www.manatap.ai/pricing,5,416,1.2%,4.46
https://www.manatap.ai/support,5,116,4.31%,7.25
https://www.manatap.ai/collections,2,387,0.52%,4.9
https://www.manatap.ai/wishlist,2,326,0.61%,5.38
https://www.manatap.ai/price-tracker,2,280,0.71%,4.86
https://manatap.ai/profile,2,142,1.41%,2.52
https://www.manatap.ai/commanders/hakbal-of-the-surging-soul/best-cards,2,22,9.09%,8.18
https://www.manatap.ai/commanders/ms-bumbleflower/budget-upgrades,2,19,10.53%,10.05
https://www.manatap.ai/profile,1,227,0.44%,1.7
https://manatap.ai/tools/probability,1,25,4%,8.92
https://www.manatap.ai/terms,1,9,11.11%,11.22
https://www.manatap.ai/commanders/breya-etherium-shaper/best-cards,1,6,16.67%,8.5
https://www.manatap.ai/budget-swaps,0,57,0%,3.39
https://www.manatap.ai/privacy,0,51,0%,1.82
https://www.manatap.ai/collections/cost-to-finish,0,33,0%,8.06
https://www.manatap.ai/decks/browse,0,28,0%,1.25
https://www.manatap.ai/decks/d6a3944d-ec9f-4be5-a165-ef8743eccf91,0,26,0%,28.92
https://www.manatap.ai/tools/probability,0,24,0%,8.96
https://www.manatap.ai/commanders/krenko-mob-boss/budget-upgrades,0,16,0%,7.56
https://www.manatap.ai/deck/swap-suggestions,0,15,0%,8.73
https://www.manatap.ai/changelog,0,12,0%,1
https://www.manatap.ai/commanders/wilhelt-the-rotcleaver/best-cards,0,9,0%,8.78
https://www.manatap.ai/commanders/meren-of-clan-nel-toth/budget-upgrades,0,8,0%,9
https://www.manatap.ai/decks/3c5e03f6-3b2d-4636-b959-e1d126654348,0,7,0%,3.29
https://www.manatap.ai/commanders/y-shtola-night-s-blessed/budget-upgrades,0,7,0%,8.43
https://www.manatap.ai/commander-archetypes/reanimator,0,7,0%,26.43
https://www.manatap.ai/blog/budget-commander-100,0,5,0%,9.4
https://www.manatap.ai/decks/fe5f32b8-3abd-4a24-b0c3-c74742e74dc5,0,4,0%,6.25
https://www.manatap.ai/commanders/brago-king-eternal/best-cards,0,4,0%,8.25
https://www.manatap.ai/commanders/rhys-the-redeemed/best-cards,0,3,0%,7
https://manatap.ai/budget-swaps,0,3,0%,7.33
https://www.manatap.ai/decks/8ce7a78d-54ed-45b0-b9c4-b4a6e6779b0e,0,2,0%,5.5
https://www.manatap.ai/commanders/sauron-the-dark-lord/mulligan-guide,0,2,0%,9
https://www.manatap.ai/commanders/atraxa-praetors-voice,0,2,0%,10
https://www.manatap.ai/commanders/omnath-locus-of-creation/best-cards,0,2,0%,10
https://www.manatap.ai/decks/09102b2a-5845-4c96-9dba-0eb5c71b958e,0,2,0%,10
https://www.manatap.ai/decks/2fbab54a-41d6-4038-bbba-d8641eb3944a,0,2,0%,44
https://www.manatap.ai/commander-archetypes,0,1,0%,3
https://www.manatap.ai/decks/6c29bba4-890a-4b56-b362-16e4a4ce80ca,0,1,0%,7
https://www.manatap.ai/decks/87b02526-66dd-4619-8603-97f93fe17e9b,0,1,0%,8
https://www.manatap.ai/cards/swords-to-plowshares,0,1,0%,10
https://www.manatap.ai/cards/wooded-foothills,0,1,0%,10
https://www.manatap.ai/commanders/the-first-sliver/best-cards,0,1,0%,10
https://www.manatap.ai/meta,0,1,0%,10
https://www.manatap.ai/commanders/xyris-the-writhing-storm/budget-upgrades,0,1,0%,45
